"","Inadequate water","Inadequate water","Inadequate water","Inadequate water","Inadequate water","Inadequate water"
""," Deaths total"," Deaths, children aged under 5 years"," Deaths per 100 000 population"," Disability-adjusted life years (DALYs) total (000s)"," Disability-adjusted life years (DALYs), children aged under 5 years (000s)"," Disability-adjusted life years (DALYs) per 100 000 population"
"Country"," 2012"," 2012"," 2012"," 2012"," 2012"," 2012"
"Afghanistan","6419.6 [2972.9-8385.2]","5658","21.5","576.4 [267-752.9]","529.7","1933"
"Albania","4.5 [0-7.2]","2","0.1","0.7 [0-1.2]","0.4","23"
"Algeria","577.4 [21.4-888.1]","243.7","1.5","48.7 [1.8-74.9]","32","127"
"Angola","13634.3 [6512-17925.3]","7895.1","65.5","1094 [522.5-1438.3]","727.7","5254"
"Antigua and Barbuda","0.4 [0-0.7]","0.1","0.5","0.1 [0-0.1]","0","59"
"Argentina","148.7 [0-270.3]","30.7","0.4","14 [0-25.4]","7","34"
"Armenia","19.6 [0-33.9]","1.9","0.7","1.4 [0-2.4]","0.5","47"
"Azerbaijan","88 [31.2-133.6]","82.7","0.9","9.2 [3.3-14]","8.3","99"
"Bangladesh","5783.7 [1343.4-8131.6]","2961","3.7","426.3 [99-599.4]","302.8","276"
"Belarus","10.4 [0-18.3]","0.6","0.1","1.8 [0-3.1]","0.5","19"
"Belize","2.1 [0.1-3.2]","1.2","0.6","0.3 [0-0.4]","0.2","87"
"Benin","1877.4 [816-2470.3]","1172","18.7","148.9 [64.7-195.9]","111.4","1481"
"Bhutan","23.5 [6.3-35.7]","12.2","3.2","1.7 [0.5-2.6]","1.2","234"
"Bolivia (Plurinational State of)","353.7 [3.4-565.4]","220.7","3.4","30.5 [0.3-48.7]","22.6","290"
"Bosnia and Herzegovina","1.7 [0-2.8]","0.3","0","0.6 [0-1]","0.2","16"
"Botswana","105.5 [12-160.2]","50.8","5.3","7.6 [0.9-11.5]","5.1","377"
"Brazil","1137.4 [0-1987.8]","168.1","0.6","89.8 [0-157]","39.6","45"
"Bulgaria","3.4 [0-6.3]","1.1","0","0.9 [0-1.7]","0.3","13"
"Burkina Faso","3813.6 [1609.9-5061.6]","2638.7","23.2","311.6 [131.6-413.6]","248.5","1893"
"Burundi","4188.1 [1832.8-5482.8]","2295.2","42.5","328.5 [143.8-430]","213.4","3335"
"Cote d'Ivoire","4920.6 [2312.8-6586.6]","2739.8","24.8","389 [182.8-520.7]","258","1961"
"Cabo Verde","12.3 [4.8-17.1]","3.8","2.5","0.8 [0.3-1.2]","0.5","168"
"Cambodia","377.2 [153.8-532.2]","270","2.5","34.4 [14-48.6]","26.6","232"
"Cameroon","5589.1 [2481.1-7321.7]","3332.8","25.8","440.3 [195.4-576.7]","313.7","2029"
"Central African Republic","2956.6 [1233.9-3888.9]","706.4","65.3","188.5 [78.7-248]","66.2","4167"
"Chad","6757.6 [3038.7-8871]","4057.1","54.3","519.2 [233.5-681.6]","376.3","4171"
"Chile","53.7 [0-93.3]","1.6","0.3","5.2 [0-9]","1.9","30"
"China","2014.5 [301.6-3264.6]","1845.5","0.1","384.4 [57.5-622.8]","257.9","28"
"Colombia","157.5 [0-265.9]","64.3","0.3","24 [0-40.5]","14.2","50"
"Comoros","117.3 [42.2-161.4]","58","16.3","8.5 [3.1-11.7]","5.6","1182"
"Congo","1205.8 [595.8-1589.8]","439.7","27.8","86.3 [42.6-113.7]","42","1989"
"Cook Islands","0.2 [0-0.4]","0","1.1","0 [0-0]","0","50"
"Costa Rica","17.6 [0-31.4]","1.3","0.4","1.8 [0-3.2]","0.8","38"
"Cuba","48.9 [3.8-76.8]","1.8","0.4","4.8 [0.4-7.5]","1.3","42"
"Democratic People's Republic of Korea","145.6 [0-261.8]","100.4","0.6","14.3 [0-25.7]","10.7","58"
"Democratic Republic of the Congo","43213.3 [19417.7-56730.6]","18645.3","65.8","3249.8 [1460.3-4266.3]","1728.8","4946"
"Djibouti","131.5 [34.6-188.7]","68.2","15.3","9.3 [2.5-13.4]","6.4","1085"
"Dominica","0.2 [0-0.3]","0","0.3","0 [0-0]","0","42"
"Dominican Republic","111.5 [25.7-167.6]","78.9","1.1","12.2 [2.8-18.3]","9.4","119"
"Ecuador","147 [0-240]","75.7","0.9","14.3 [0-23.3]","9.9","92"
"Egypt","779.5 [0-1310]","570","1","91.9 [0-154.5]","71.7","114"
"El Salvador","80.4 [11.1-124.7]","28.7","1.3","6.3 [0.9-9.7]","3.9","100"
"Equatorial Guinea","272.1 [118.5-358.9]","82.2","37","18.5 [8-24.4]","7.8","2508"
"Eritrea","1237.3 [560.2-1626.6]","465","20.2","81.5 [36.9-107.2]","45","1330"
"Ethiopia","17018.9 [7693-22137.4]","8245.3","18.6","1245.3 [562.9-1619.9]","790.5","1358"
"Fiji","11.8 [0.8-19.7]","3.2","1.4","0.7 [0.1-1.2]","0.4","85"
"Gabon","258.6 [103-359.2]","67.7","15.8","15.3 [6.1-21.2]","6.8","935"
"Gambia","242.4 [103.7-324.8]","142.4","13.5","19.9 [8.5-26.7]","13.9","1112"
"Georgia","5 [0-7.8]","2.8","0.1","1.5 [0-2.3]","0.8","34"
"Ghana","2853.3 [1046.4-3850.6]","1546.3","11.2","224 [82.1-302.3]","151.2","883"
"Grenada","0.5 [0-0.9]","0","0.5","0.1 [0-0.1]","0","50"
"Guatemala","717.8 [0-1166.9]","273.2","4.8","46.7 [0-76]","29.5","310"
"Guinea","2713 [1116.1-3633.8]","1221.1","23.7","200.9 [82.6-269]","116.5","1754"
"Guinea-Bissau","488.5 [206.4-643.8]","302.4","29.4","38.3 [16.2-50.4]","28.3","2300"
"Guyana","18.8 [3.5-28]","8.3","2.4","1.6 [0.3-2.3]","1","198"
"Haiti","1769.8 [732.4-2348.4]","886.1","17.4","124.5 [51.5-165.2]","84.3","1224"
"Honduras","333.1 [0-544.7]","76","4.2","19.3 [0-31.6]","8.9","243"
"India","193517.5 [56702.4-272278.7]","50362.1","15.6","9821.1 [2877.7-13818.3]","4825.1","794"
