,Estimates of number of homicides,Estimates of rates of homicides per 100 000 population
Country,2012,2012
Afghanistan,2180 [516 - 9030],7.3 [1.7 - 30.3]
Albania,159 [130 - 188],5 [4.1 - 5.9]
Algeria,1701 [390-6998],4.4 [1.0-18.2]
Andorra,1,0.8
Angola,2232 [526 - 9140],10.7 [2.5 - 43.9]
Antigua and Barbuda,4,4.4
Argentina,2445,6
Armenia,62,2.1
Australia,254,1.1
Austria,77,0.9
Azerbaijan,225,2.4
Bahamas,120,32.1
Bahrain,10 [7 - 15],0.8 [0.5 - 1.1]
Bangladesh,4794,3.1
Barbados,28,9.8
Belarus,581,6.2
Belgium,117,1.1
Belize,145,44.7
Benin,633 [156 - 2521],6.3 [1.5 - 25.1]
Bhutan,14,1.9
Bolivia (Plurinational State of),1461,13.9
Bosnia and Herzegovina,132 [32 - 566],3.4 [0.8 - 14.8]
Botswana,249,12.4
Brazil,64357,32.4
Brunei Darussalam,9 [2 - 35],2.1 [0.5 - 8.4]
Bulgaria,141,1.9
Burkina Faso,1613 [404 - 6274],9.8 [2.5 - 38.1]
Burundi,657 [138 - 2844],6.7 [1.4 - 28.9]
Cote d'Ivoire,2412 [535 - 9912],12.2 [2.7 - 50]
Cabo Verde,43 [10 - 195],8.8 [1.9 - 39.4]
Cambodia,356,2.4
Cameroon,2544 [606 - 11129],11.7 [2.8 - 51.3]
Canada,614,1.8
Central African Republic,610 [140 - 2646],13.5 [3.1 - 58.5]
Chad,1168 [257 - 4734],9.4 [2.1 - 38]
Chile,811,4.6
China,15480,1.1
Colombia,20923,43.9
Comoros,57 [13 - 220],8 [1.8 - 30.6]
Congo,450 [110 - 2113],10.4 [2.5 - 48.7]
Cook Islands,1,3.1
Costa Rica,407,8.5
Croatia,54,1.3
Cuba,561,5
Cyprus,23,2
Czech Republic,99,0.9
Democratic People's Republic of Korea,1169 [271 - 5015],4.7 [1.1 - 20.3]
Democratic Republic of the Congo,8755 [1954 - 37066],13.3 [3 - 56.4]
Denmark,50,0.9
Djibouti,60 [12 - 295],7 [1.4 - 34.3]
Dominica,5,6.8
Dominican Republic,2608,25.4
Ecuador,2144,13.8
Egypt,4101 [956 - 16123],5.1 [1.2 - 20]
El Salvador,2767,43.9
Equatorial Guinea,26 [5 - 112],3.5 [0.7 - 15.2]
Eritrea,474 [102 - 2024],7.7 [1.7 - 33]
Estonia,70,5.4
Ethiopia,7334 [1644 - 29060],8 [1.8 - 31.7]
Fiji,20 [18 - 27],2.3 [2 - 3.1]
Finland,76,1.4
France,665,1
Gabon,152 [31 - 785],9.3 [1.9 - 48.1]
Gambia,169 [38 - 704],9.4 [2.1 - 39.3]
Georgia,209,4.8
Germany,653,0.8
Ghana,2527 [587 - 10999],10 [2.3 - 43.4]
Greece,180,1.6
Grenada,7,6.2
Guatemala,6025,39.9
Guinea,1008 [243 - 4065],8.8 [2.1 - 35.5]
Guinea-Bissau,169 [39 - 717],10.1 [2.4 - 43.1]
Guyana,160,20.2
Haiti,2703 [633 - 10908],26.6 [6.2 - 107.2]
Honduras,8248,103.9
Hungary,154,1.5
Iceland,2,0.6
India,52998,4.3
Indonesia,11687 [2775 - 46330],4.7 [1.1 - 18.8]
Iran (Islamic Republic of),3630 [874 - 16070],4.8 [1.1 - 21]
Iraq,6093 [3063 - 9886],18.6 [9.3 - 30.2]
Ireland,54,1.2
Israel,160,2.1
Italy,530,0.9
