"WHO region","Year","Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)","Neonatal mortality rate (per 1000 live births)","Under-five mortality rate (probability of dying by age 5 per 1000 live births)"
"Africa"," 2015","55.4 [52.0-60.6]"," 28.0","81.3 [75.5-91.1]"
"Africa"," 2014","56.9 [53.7-61.5]"," 28.6","84.1 [78.6-92.8]"
"Africa"," 2013","58.5 [55.6-62.6]"," 29.2","87.3 [82.1-94.9]"
"Africa"," 2012","60.3 [57.6-63.9]"," 29.8","90.9 [86.1-97.7]"
"Africa"," 2011","62.4 [59.9-65.6]"," 30.5","94.9 [90.5-100.9]"
"Africa"," 2010","64.7 [62.4-67.5]"," 31.3","99.2 [95.2-104.6]"
"Africa"," 2009","67.1 [65.1-69.7]"," 32.0","104.1 [100.4-108.9]"
"Africa"," 2008","69.9 [68.1-72.1]"," 32.9","109.2 [105.8-113.5]"
"Africa"," 2007","72.8 [71.1-74.8]"," 33.9","114.6 [111.4-118.5]"
"Africa"," 2006","75.8 [74.2-77.7]"," 34.8","120.2 [117.1-123.8]"
"Africa"," 2005","78.8 [77.2-80.7]"," 35.8","125.8 [122.8-129.4]"
"Africa"," 2004","81.9 [80.4-83.8]"," 36.8","131.6 [128.6-135.1]"
"Africa"," 2003","85.0 [83.5-86.9]"," 37.8","137.3 [134.4-140.9]"
"Africa"," 2002","88.1 [86.5-89.9]"," 38.7","143.0 [140.1-146.5]"
"Africa"," 2001","91.0 [89.4-92.8]"," 39.6","148.4 [145.4-151.9]"
"Africa"," 2000","93.7 [92.1-95.6]"," 40.5","153.3 [150.2-156.8]"
"Africa"," 1999","96.0 [94.4-98.0]"," 41.3","157.7 [154.6-161.3]"
"Africa"," 1998","98.1 [96.4-100.1]"," 42.1","161.7 [158.5-165.4]"
"Africa"," 1997","99.9 [98.1-101.8]"," 42.7","164.8 [161.5-168.5]"
"Africa"," 1996","101.4 [99.6-103.4]"," 43.2","167.4 [164.0-171.1]"
"Africa"," 1995","102.8 [100.9-104.8]"," 43.7","170.2 [166.8-174.0]"
"Africa"," 1994","103.8 [102.0-105.9]"," 44.0","172.6 [169.1-176.4]"
"Africa"," 1993","104.6 [102.7-106.7]"," 44.3","173.3 [169.8-177.1]"
"Africa"," 1992","105.3 [103.4-107.4]"," 44.6","174.6 [171.1-178.5]"
"Africa"," 1991","106.0 [104.1-108.1]"," 44.8","175.8 [172.3-179.8]"
"Africa"," 1990","106.6 [104.8-108.8]"," 45.2","177.0 [173.6-181.1]"
"Americas"," 2015","12.5 [12.0-13.3]"," 7.7","14.7 [14.1-15.7]"
"Americas"," 2014","12.8 [12.3-13.5]"," 8.1","15.0 [14.5-15.9]"
"Americas"," 2013","13.1 [12.7-13.7]"," 8.4","15.4 [14.9-16.2]"
"Americas"," 2012","13.4 [13.0-13.9]"," 8.6","15.8 [15.3-16.5]"
"Americas"," 2011","13.7 [13.3-14.2]"," 8.8","16.2 [15.7-16.8]"
"Americas"," 2010","14.6 [14.2-15.0]"," 8.8","19.1 [18.5-20.0]"
"Americas"," 2009","14.5 [14.2-14.8]"," 8.8","17.1 [16.7-17.6]"
"Americas"," 2008","14.9 [14.6-15.3]"," 8.8","17.7 [17.3-18.2]"
"Americas"," 2007","15.4 [15.1-15.7]"," 9.0","18.3 [17.9-18.7]"
"Americas"," 2006","15.9 [15.6-16.3]"," 9.3","19.0 [18.6-19.5]"
"Americas"," 2005","16.6 [16.3-17.0]"," 9.7","19.8 [19.4-20.3]"
"Americas"," 2004","17.5 [17.0-17.9]"," 10.0","20.8 [20.3-21.3]"
"Americas"," 2003","18.3 [17.9-18.8]"," 10.4","21.9 [21.4-22.5]"
"Americas"," 2002","19.4 [18.9-19.9]"," 10.9","23.1 [22.5-23.8]"
"Americas"," 2001","20.5 [19.9-21.1]"," 11.5","24.5 [23.8-25.3]"
"Americas"," 2000","21.6 [20.9-22.3]"," 12.1","25.9 [25.1-26.7]"
"Americas"," 1999","22.7 [22.1-23.5]"," 12.6","27.5 [26.7-28.4]"
"Americas"," 1998","23.9 [23.2-24.6]"," 13.1","29.0 [28.2-30.0]"
"Americas"," 1997","24.9 [24.2-25.7]"," 13.6","30.3 [29.3-31.3]"
"Americas"," 1996","26.1 [25.3-26.9]"," 14.1","31.8 [30.8-32.9]"
"Americas"," 1995","27.2 [26.5-28.1]"," 14.6","33.4 [32.4-34.5]"
"Americas"," 1994","28.5 [27.7-29.3]"," 15.1","35.1 [34.1-36.3]"
"Americas"," 1993","29.8 [28.9-30.6]"," 15.7","36.9 [35.8-38.1]"
"Americas"," 1992","31.1 [30.2-32.0]"," 16.3","38.7 [37.6-39.9]"
"Americas"," 1991","32.4 [31.5-33.3]"," 16.9","40.6 [39.4-41.8]"
"Americas"," 1990","33.8 [32.9-34.7]"," 17.5","42.5 [41.3-43.8]"
"South-East Asia"," 2015","34.0 [31.3-36.8]"," 24.3","42.5 [38.7-46.6]"
"South-East Asia"," 2014","35.2 [32.9-37.7]"," 25.1","44.3 [40.9-47.9]"
"South-East Asia"," 2013","36.7 [34.6-39.0]"," 26.0","46.4 [43.3-49.7]"
"South-East Asia"," 2012","38.4 [36.4-40.4]"," 27.1","48.7 [45.9-51.7]"
"South-East Asia"," 2011","40.1 [38.4-42.0]"," 28.2","51.2 [48.7-54.0]"
"South-East Asia"," 2010","41.9 [40.3-43.6]"," 29.3","53.8 [51.4-56.3]"
"South-East Asia"," 2009","43.7 [42.2-45.3]"," 30.3","56.4 [54.1-58.8]"
"South-East Asia"," 2008","45.6 [44.2-47.2]"," 31.4","59.7 [57.5-62.1]"
